NATL2_01031	PMN2A_RS00490	PMN2A_1421		photosystem reaction center subunit H	Protein implicated in RNA metabolism (PRC-barrel domain)	
NATL2_01041	PMN2A_RS00495	PMN2A_1422		hypothetical protein	Lipid-A-disaccharide synthase (EC 2.4.1.182)	
NATL2_01051	PMN2A_RS00505	PMN2A_1423	accC	acetyl-CoA carboxylase subunit alpha	Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)	
NATL2_01061	PMN2A_RS00510	PMN2A_1424		hypothetical protein	"YggT family protein YlmG/ssl0353, required for proper distribution of nucleoids in chloroplast and cyanobacteria"	
NATL2_01071	PMN2A_RS00515	PMN2A_1425	psbX	photosystem II reaction center X protein	Photosystem II protein PsbX	
NATL2_01081	PMN2A_RS00520	PMN2A_1426		hypothetical protein	FIG00940178: hypothetical protein	
NATL2_01091	PMN2A_RS00525	PMN2A_1427	hli2	high light inducible protein	possible high light inducible protein	
NATL2_01101	PMN2A_RS00530	PMN2A_1428		ABC transporter ATP-binding protein	ATP-binding protein of ABC transporter	
NATL2_01111	PMN2A_RS00535	PMN2A_1429		hypothetical protein	FIG00941168: hypothetical protein	
NATL2_01121	PMN2A_RS00540	PMN2A_1430	hit	zinc-binding protein	Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) (EC 3.6.1.17)	
NATL2_01131	PMN2A_RS00545	PMN2A_1431	def	peptide deformylase	Peptide deformylase (EC 3.5.1.88)	
NATL2_01141	PMN2A_RS00550	PMN2A_1432	dap2	peptidase S9	Esterase/lipase/thioesterase family active site	
NATL2_01151	PMN2A_RS00555	PMN2A_1433		cysteine desulfurase	"Cysteine desulfurase (EC 2.8.1.7), SufS subfamily"	
NATL2_01161	PMN2A_RS00560	PMN2A_1434	sufD	Fe-S cluster assembly protein SufD	Iron-sulfur cluster assembly protein SufD	
NATL2_01171	PMN2A_RS00565	PMN2A_1435	sufC	Fe-S cluster assembly ATPase SufC	Iron-sulfur cluster assembly ATPase protein SufC	
NATL2_01181	PMN2A_RS00570	PMN2A_1436	sufB	cysteine desulfurase activator complex subunit SufB	Iron-sulfur cluster assembly protein SufB	
NATL2_01191	PMN2A_RS00575	PMN2A_1437		hypothetical protein	FIG00940758: hypothetical protein	
NATL2_01201	PMN2A_RS00580	PMN2A_1438		Rho termination protein	FIG00940991: hypothetical protein	
NATL2_01211	PMN2A_RS00585	PMN2A_1439		membrane protein	Predicted membrane protein	
NATL2_01221	PMN2A_RS00590	PMN2A_1440	pgm	phosphoglucomutase	phosphoglucomutase	
NATL2_01231	PMN2A_RS00595	PMN2A_1441		ATPase AAA	ATPase	
NATL2_01251	PMN2A_RS00605	PMN2A_1443		bacterioferritin comigratory (BCP) protein	"Thiol peroxidase, Bcp-type (EC 1.11.1.15)"	
NATL2_01261	PMN2A_RS00610	PMN2A_1444		sugar ABC transporter substrate-binding protein	"Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)"	
NATL2_01271	PMN2A_RS00615	PMN2A_1445	cysH	phosphoadenosine phosphosulfate reductase	Phosphoadenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.8)	
NATL2_01281	PMN2A_RS00620	PMN2A_1446		3-hydroxyacyl-CoA dehydrogenase	NADH dehydrogenase (EC 1.6.99.3)	
NATL2_01291	PMN2A_RS00625	PMN2A_1447	citT	sodium:sulfate symporter	Di/tricarboxylate transporter	
NATL2_01311	PMN2A_RS00630	PMN2A_1448	trkG	potassium transporter TrkG	Potassium uptake protein TrkH	
NATL2_01321	PMN2A_RS00635	PMN2A_1449	trkA	potassium transporter TrkA	Trk system potassium uptake protein TrkA	
NATL2_01331	PMN2A_RS00640	PMN2A_1450		anhydro-N-acetylmuramic acid kinase	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.-)	
NATL2_01341	PMN2A_RS00645	PMN2A_1451		hypothetical protein	FIG00941527: hypothetical protein	
NATL2_01351	PMN2A_RS00650	PMN2A_1452		hypothetical protein	FIG00940123: hypothetical protein	
NATL2_01361	PMN2A_RS00655	PMN2A_1453		hypothetical protein	FIG00940400: hypothetical protein	
NATL2_01371		PMN2A_1454			FIG00940744: hypothetical protein	
NATL2_01381	PMN2A_RS00660	PMN2A_1455		lysophospholipase	"ABC transporter, ATP binding component"	
NATL2_01391	PMN2A_RS00665	PMN2A_1456		serine protease	possible serine protease	
NATL2_01401	PMN2A_RS00670	PMN2A_1457		hypothetical protein	FIG00940568: hypothetical protein	
NATL2_01411	PMN2A_RS00675	PMN2A_1458		hypothetical protein	FIG00940597: hypothetical protein	
NATL2_01421	PMN2A_RS00680	PMN2A_1459		high light inducible protein	Possible high light inducible protein	Synpcc7942_0243 and Synpcc7942_1120; increased
NATL2_01441	PMN2A_RS00690	PMN2A_1461		exodeoxyribonuclease VII small subunit	Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)	
NATL2_01451	PMN2A_RS00695	PMN2A_1462		hypothetical protein	FIG00940734: hypothetical protein	
NATL2_01461	PMN2A_RS00700	PMN2A_1463	brkB	serum resistance locus BrkB	similar to serum resistance locus BrkB	
NATL2_01481	PMN2A_RS00710	PMN2A_1465		transporter	Outer membrane efflux protein precursor	
NATL2_01491	PMN2A_RS00715	PMN2A_1466		Fe-S oxidoreductase	Possible Fe-S oxidoreductase	
NATL2_01511	PMN2A_RS00725	PMN2A_1467		membrane protein	Permeases of the major facilitator superfamily	Synpcc7942_1353; decreased
NATL2_01521	PMN2A_RS00730	PMN2A_1468	nadB	L-aspartate oxidase	L-aspartate oxidase (EC 1.4.3.16)	
NATL2_01531	PMN2A_RS00735	PMN2A_1469		thioredoxin	VKORC1/thioredoxin domain protein	
NATL2_01551	PMN2A_RS00745	PMN2A_1471		hypothetical protein	Pterin-binding family	
NATL2_01561	PMN2A_RS00750	PMN2A_1472		hypothetical protein	FIG00941798: hypothetical protein	
NATL2_01571	PMN2A_RS00755	PMN2A_1473		hypothetical protein	COGs COG3146	
NATL2_01581	PMN2A_RS00760	PMN2A_1474		pyrimidine reductase	5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)	Synpcc7942_1186; decreased
NATL2_01591	PMN2A_RS00765	PMN2A_1475		6-pyruvoyl tetrahydrobiopterin synthase	6-pyruvoyl tetrahydrobiopterin synthase (EC 4.2.3.12)	
NATL2_01601	PMN2A_RS00770	PMN2A_1476	aroK	shikimate kinase	Shikimate kinase I (EC 2.7.1.71)	
NATL2_01611	PMN2A_RS00775	PMN2A_1909		hypothetical protein	FIG00940875: hypothetical protein	
NATL2_01621	PMN2A_RS00780	PMN2A_1477		hypothetical protein	Possible POLO box duplicated region	
NATL2_01631	PMN2A_RS00785	PMN2A_1478		glutathione S-transferase	Glutathione S-transferase family protein Sll1545	
NATL2_01641	PMN2A_RS00790	PMN2A_1479		membrane protein	Expressed protein possibly involved in photorespiration	
NATL2_01651	PMN2A_RS00795	PMN2A_1480	rbfA	ribosome-binding factor A	Ribosome-binding factor A	
NATL2_01661	PMN2A_RS00800	PMN2A_1481		beta-N-acetylhexosaminidase	Possible beta-N-acetylglucosaminidase	
NATL2_01671	PMN2A_RS00805	PMN2A_1482	hemD	uroporphyrinogen III methyltransferase	Uroporphyrinogen-III synthase (EC 4.2.1.75)	
NATL2_01681	PMN2A_RS00810	PMN2A_1483		membrane protein	Oligoketide cyclase/lipid transport protein homolog	
NATL2_01691	PMN2A_RS00815	PMN2A_1484	crtQ	zeta-carotene desaturase	"Pro-zeta-carotene desaturase, prolycopene producing (EC 1.-.-.-)"	
NATL2_01701	PMN2A_RS00820	PMN2A_1485		hypothetical protein	probable iron binding protein from the HesB_IscA_SufA family	
NATL2_01711	PMN2A_RS00825	PMN2A_1486		hypothetical protein	"TPR-repeat protein, specific for cyanobacteria"	
NATL2_01721	PMN2A_RS00830	PMN2A_1487		multidrug MFS transporter	Cell division inhibitor	
NATL2_01731	PMN2A_RS00835	PMN2A_1488		NAD(P)H-quinone oxidoreductase subunit O	FIG00940444: hypothetical protein	
NATL2_01741	PMN2A_RS00840	PMN2A_1489		molecular chaperone DnaJ	possible heat shock protein DnaJ	
NATL2_01751	PMN2A_RS00845	PMN2A_1490		cysteine synthase	Cysteine synthase (EC 2.5.1.47)	Synpcc7942_B2623; decreased
NATL2_01761		PMN2A_1910			hypothetical protein	
NATL2_01771	PMN2A_RS00850	PMN2A_1491		hypothetical protein	FIG00940056: hypothetical protein	
NATL2_01781	PMN2A_RS00855	PMN2A_1492		hypothetical protein	conserved hypothetical protein in cyanobacteria	
NATL2_01791	PMN2A_RS00860	PMN2A_1493		cobalt ABC transporter	"Possible ABC transporter, ATP-binding component"	
NATL2_01801	PMN2A_RS00870	PMN2A_1494	rpaA	chemotaxis protein CheY	Two-component system response regulator	
NATL2_01811	PMN2A_RS00875	PMN2A_1495	holB	DNA polymerase III subunit delta'	DNA polymerase III delta prime subunit (EC 2.7.7.7)	
NATL2_01821	PMN2A_RS00880	PMN2A_1496	tmk	thymidylate kinase	Thymidylate kinase (EC 2.7.4.9)	
NATL2_01831	PMN2A_RS00885	PMN2A_1497	zntA	P-type ATPase transporter for copper	"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)"	
NATL2_01841	PMN2A_RS00890	PMN2A_1498	ycf3	photosystem I assembly protein Ycf3	photosystem I assembly related protein Ycf3	
NATL2_01851	PMN2A_RS00895	PMN2A_1499	radA	DNA repair protein RadA	DNA repair protein RadA	
NATL2_01861	PMN2A_RS00900	PMN2A_1500		XRE family transcriptional regulator	Two-component response regulator	
NATL2_01871	PMN2A_RS00905	PMN2A_1501	plsX	glycerol-3-phosphate acyltransferase	Phosphate:acyl-ACP acyltransferase PlsX	
NATL2_01881	PMN2A_RS00910	PMN2A_1502	fabH	3-oxoacyl-ACP synthase III	"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)"	
NATL2_01901	PMN2A_RS00920	PMN2A_1504		1-acyl-sn-glycerol-3-phosphate acyltransferase	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	
NATL2_01911	PMN2A_RS00925	PMN2A_1505		peptidase	"Inactive homolog of metal-dependent proteases, putative molecular chaperone"	
NATL2_01921	PMN2A_RS00930	PMN2A_1506	ycf34	hypothetical protein	hypothetical protein	Synpcc7942_1460; increased
NATL2_01931	PMN2A_RS00935	PMN2A_1507	cca	tRNA nucleotidyltransferase	"tRNA nucleotidyltransferase, CC-adding (EC 2.7.7.72)"	
NATL2_01941	PMN2A_RS00940	PMN2A_1508		RNA-binding protein	RNA-binding region RNP-1	
	PMN2A_RS00945	PMN2A_1509		phytoene synthase	Phytoene synthase (EC 2.5.1.32)	
NATL2_01961	PMN2A_RS00950	PMN2A_1510	pds	phytoene desaturase	"Phytoene desaturase, pro-zeta-carotene producing (EC 1.-.-.-)"	
NATL2_01971	PMN2A_RS00955	PMN2A_1511		NAD(P)H-quinone oxidoreductase subunit M	Putative subunit of NAD(P)H:quinone oxidoreductase	
NATL2_01981	PMN2A_RS00960	PMN2A_1512		hypothetical protein	FIG00940868: hypothetical protein	
NATL2_01991	PMN2A_RS00965	PMN2A_1513	rbcR	transcriptional regulator	RuBisCO operon transcriptional regulator	
NATL2_02001	PMN2A_RS00970	PMN2A_1514		membrane protein	Conserved NnrU/NnuR ortholog membrane enzyme	
NATL2_02011	PMN2A_RS00975	PMN2A_1515	ndhF	oxidoreductase	"NADH dehydrogenase subunit 5, Involved in CO2 fixation"	Synpcc7942_1473; decreased
NATL2_02021	PMN2A_RS00980	PMN2A_1516		NAD(P)H-quinone oxidoreductase chain 4	"NADH dehydrogenase subunit 4, Involved in CO2 fixation"	
NATL2_02031	PMN2A_RS00985	PMN2A_1517		segregation and condensation protein A	hypothetical protein	
NATL2_02041	PMN2A_RS00990	PMN2A_1518	glgC	mannose-1-phosphate guanyltransferase	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	
NATL2_02051	PMN2A_RS00995	PMN2A_1519	metF	methylenetetrahydrofolate reductase	"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)"	
NATL2_02061	PMN2A_RS01000	PMN2A_1520	csgD	LuxR family transcriptional regulator	"Transcriptional regulator, contains HTH motif"	
NATL2_02071		PMN2A_1521			FIG00941193: hypothetical protein	
NATL2_02081	PMN2A_RS01005	PMN2A_1522		hypothetical protein	FIG00940962: hypothetical protein	
NATL2_02091	PMN2A_RS01010	PMN2A_1523		NAD kinase 2	NAD kinase (EC 2.7.1.23)	
NATL2_02101	PMN2A_RS01015	PMN2A_1524	ndhE	NADH:ubiquinone oxidoreductase subunit K	NADH dehydrogenase subunit 4L	
NATL2_02111	PMN2A_RS01020	PMN2A_1525	ndhG	NADH:ubiquinone oxidoreductase subunit J	NAD(P)H-quinone oxidoreductase chain J (EC 1.6.5.2)	
NATL2_02121	PMN2A_RS01025	PMN2A_1526	ndhI	NAD(P)H-quinone oxidoreductase subunit I	NAD(P)H-quinone oxidoreductase chain I (EC 1.6.5.2)	
NATL2_02131	PMN2A_RS01030	PMN2A_1527	ndhA	NADPH-quinone oxidoreductase	NAD(P)H-quinone oxidoreductase chain 1	
NATL2_02141	PMN2A_RS01035	PMN2A_1528	gltA	citrate synthase	Citrate synthase (si) (EC 2.3.3.1)	
NATL2_02151		PMN2A_1911			hypothetical protein	
NATL2_02161	PMN2A_RS01040	PMN2A_1529		hypothetical protein	FIG00940180: hypothetical protein	
NATL2_02171	PMN2A_RS01045	PMN2A_1530	pspE	sulfurtransferase	Rhodanese-related sulfurtransferase	
NATL2_02181	PMN2A_RS01050	PMN2A_1531	trpB	tryptophan synthase subunit beta	Tryptophan synthase beta chain (EC 4.2.1.20)	
NATL2_02191	PMN2A_RS01055	PMN2A_1532	sui1	translation initiation factor SUI1	Translation initiation factor SUI1-related protein	
NATL2_02201	PMN2A_RS01060	PMN2A_1533	cysC	adenylylsulfate kinase	Adenylylsulfate kinase (EC 2.7.1.25)	
NATL2_02211	PMN2A_RS01065	PMN2A_1534	purE	phosphoribosylaminoimidazole carboxylase	Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21)	
NATL2_02221	PMN2A_RS01070	PMN2A_1535	nagA	N-acetylglucosamine-6-phosphate deacetylase	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	
NATL2_02231	PMN2A_RS01075	PMN2A_1536	chlM	SAM-dependent methyltransferase	Mg-protoporphyrin O-methyltransferase (EC 2.1.1.11)	
NATL2_02241	PMN2A_RS01080	PMN2A_1537		chemotaxis protein CheY	Two-component response regulator	
NATL2_02251	PMN2A_RS01085	PMN2A_1538		cysteine desulfurase	Cysteine desulfurase (EC 2.8.1.7)	
NATL2_02261	PMN2A_RS01090	PMN2A_1539		ribosomal RNA small subunit methyltransferase H	rRNA small subunit methyltransferase H	
NATL2_02271	PMN2A_RS01095	PMN2A_1540	ndhH	NAD(P)H-quinone oxidoreductase subunit H	NAD(P)H-quinone oxidoreductase chain H (EC 1.6.5.2)	
NATL2_02281	PMN2A_RS01100	PMN2A_1541		"1,4-dihydroxy-2-naphthoyl-CoA hydrolase"	Predicted thioesterase	Synpcc7942_1744; decreased
NATL2_02291	PMN2A_RS01105	PMN2A_1542	menE	O-succinylbenzoic acid--CoA ligase	O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)	
NATL2_02301	PMN2A_RS01110	PMN2A_1543	menC	O-succinylbenzoate-CoA synthase	O-succinylbenzoate synthase (EC 4.2.1.113)	
NATL2_02311	PMN2A_RS01115	PMN2A_1544	menA	"1,4-dihydroxy-2-naphthoate octaprenyltransferase"	"1,4-dihydroxy-2-naphthoate octaprenyltransferase (EC 2.5.1.74)"	
NATL2_02321	PMN2A_RS01120	PMN2A_1545	menF	isochorismate synthase	Isochorismate synthase (EC 5.4.4.2) @ Menaquinone-specific isochorismate synthase (EC 5.4.4.2)	
NATL2_02331	PMN2A_RS01125	PMN2A_1546	gshB	glutathione synthetase	Glutathione synthetase (EC 6.3.2.3)	
NATL2_02341	PMN2A_RS01130	PMN2A_1547	grxC	glutaredoxin	Glutaredoxin 3 (Grx1)	
NATL2_02361	PMN2A_RS01135	PMN2A_1548	prfB	peptide chain release factor 2	Peptide chain release factor 2; programmed frameshift-containing	
NATL2_02371	PMN2A_RS01140	PMN2A_1549		hypothetical protein	FIG00941302: hypothetical protein	
