Proteins	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	"Genes of polypeptide, complex, or RNA"	Pathways of enzyme	UniProt-via-RefSeq	NCBI-Protein	Data-Source	Pfam
phosphate acyltransferase	phospholipid biosynthetic process // phospholipid metabolic process // fatty acid biosynthetic process // lipid metabolic process	cytoplasm	"phosphate:acyl-[acyl carrier protein] acyltransferase activity // transferase activity, transferring acyl groups other than amino-acyl groups // transferase activity // catalytic activity"	plsX	CDP-diacylglycerol biosynthesis III	WP_011862180.1	WP_011862180.1		PF02504
30S ribosomal protein S12 methylthiotransferase RimO	peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid // tRNA modification	cytoplasm	"protein methylthiotransferase activity // 4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // methylthiotransferase activity // transferase activity // catalytic activity"	rimO		WP_011862145.1	WP_011862145.1		PF00919
glucose-1-phosphate adenylyltransferase	biosynthetic process // glycogen biosynthetic process		nucleotidyltransferase activity // transferase activity // glucose-1-phosphate adenylyltransferase activity // ATP binding // nucleotide binding	glgC	glycogen biosynthesis I (from ADP-D-Glucose) // glucosylglycerol biosynthesis	WP_011862806.1	WP_011862806.1		PF00483
CBS domain-containing protein	biosynthetic process		nucleotidyltransferase activity // transferase activity // mannose-1-phosphate guanylyltransferase activity	P9301_RS15730		WP_011863337.1	WP_011863337.1		PF00571
primosomal protein N'	"DNA duplex unwinding // DNA replication, synthesis of RNA primer // DNA unwinding involved in DNA replication // DNA replication"	primosome complex	metal ion binding // hydrolase activity // zinc ion binding // ATP binding // helicase activity // DNA helicase activity // DNA binding // nucleic acid binding // nucleotide binding	priA		WP_011862517.1	WP_011862517.1		PF17764
Possible Fusion glycoprotein F0		integral component of membrane // membrane		P9301_RS13880		WP_011862964.1	WP_011862964.1		
metal-binding protein		integral component of membrane // membrane		P9301_RS15160		WP_011863231.1	WP_011863231.1		PF04214
DedA family protein	dephosphorylation	integral component of membrane // membrane	hydrolase activity // alkaline phosphatase activity	P9301_RS17715		WP_011863724.1	WP_011863724.1		PF09335
biosynthetic arginine decarboxylase	spermidine biosynthetic process // polyamine biosynthetic process // arginine catabolic process		metal ion binding // carboxy-lyase activity // lyase activity // arginine decarboxylase activity // catalytic activity	speA	putrescine biosynthesis I // L-arginine degradation III (arginine decarboxylase/agmatinase pathway) // arginine dependent acid resistance	WP_011862076.1	WP_011862076.1		PF02784
hypothetical protein				P9301_RS17600		WP_011377237.1	WP_011377237.1		
lipoyl synthase	protein lipoylation // lipoate biosynthetic process	cytoplasm	"4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // lipoate synthase activity // sulfurtransferase activity // transferase activity // catalytic activity"	lipA	lipoate biosynthesis and incorporation I	WP_011863154.1	WP_011863154.1		PF16881
hypothetical protein		integral component of membrane // membrane		P9301_RS16180		WP_011863423.1	WP_011863423.1		
DegT/DnrJ/EryC1/StrS family aminotransferase			catalytic activity	P9301_RS10600		WP_011862324.1	WP_011862324.1		PF01041
hypothetical protein		integral component of membrane // membrane		P9301_RS15115		WP_011863216.1	WP_011863216.1		
Thioredoxin family protein	iron-sulfur cluster assembly		iron-sulfur cluster binding // iron ion binding	P9301_RS11215		WP_002805305.1	WP_002805305.1		PF01106
dienelactone hydrolase			hydrolase activity // carboxymethylenebutenolidase activity	P9301_RS16635		WP_011863526.1	WP_011863526.1		PF01738
"Possible Uncharacterized secreted proteins, Ya"		integral component of membrane // membrane		P9301_RS13985		WP_011862987.1	WP_011862987.1		
cytochrome c	electron transport chain		metal ion binding // heme binding // electron transfer activity	petJ		WP_011862753.1	WP_011862753.1		PF13442
Tryptophan synthase beta chain	aromatic amino acid family biosynthetic process // cellular amino acid biosynthetic process // tryptophan metabolic process // tryptophan biosynthetic process		lyase activity // tryptophan synthase activity	trpB		WP_011862209.1	WP_011862209.1		PF00291
50S ribosomal protein L6	translation	ribosome	rRNA binding // structural constituent of ribosome // RNA binding	rplF		WP_011863650.1	WP_011863650.1		PF00347
hypothetical protein			amidinotransferase activity	P9301_RS15890		WP_011863368.1	WP_011863368.1		
apolipoprotein N-acyltransferase	lipoprotein biosynthetic process // nitrogen compound metabolic process	integral component of membrane // membrane // plasma membrane	"transferase activity, transferring acyl groups // transferase activity // N-acyltransferase activity"	lnt	lipoprotein posttranslational modification	WP_011863407.1	WP_011863407.1		
phosphoribosylamine--glycine ligase	purine nucleobase biosynthetic process // 'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process		metal ion binding // ligase activity // ATP binding // phosphoribosylamine-glycine ligase activity // nucleotide binding	purD	superpathway of purine nucleotides <i>de novo</i> biosynthesis I // 5-aminoimidazole ribonucleotide biosynthesis I	WP_011863453.1	WP_011863453.1		PF02844
DUF1295 domain-containing protein		integral component of membrane // membrane		P9301_RS14860		WP_011863162.1	WP_011863162.1		PF04191
hypothetical protein		integral component of membrane // membrane		P9301_RS11040		WP_011862408.1	WP_011862408.1		
30S ribosomal protein S5	translation	small ribosomal subunit // ribosome	rRNA binding // structural constituent of ribosome // RNA binding	rpsE		WP_011863648.1	WP_011863648.1		PF00333
16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	rRNA (guanine-N7)-methylation // methylation // rRNA methylation // rRNA processing	cytoplasm	rRNA (guanine-N7-)-methyltransferase activity // transferase activity // rRNA methyltransferase activity // methyltransferase activity	rsmG		WP_011863585.1	WP_011863585.1		PF02527
hypothetical protein		integral component of membrane // membrane		P9301_RS18450		WP_011862872.1	WP_011862872.1		
"threonine ammonia-lyase, biosynthetic"	isoleucine biosynthetic process // branched-chain amino acid biosynthetic process // cellular amino acid biosynthetic process // cellular amino acid metabolic process		pyridoxal phosphate binding // lyase activity // L-threonine ammonia-lyase activity	ilvA	superpathway of branched chain amino acid biosynthesis // L-isoleucine biosynthesis I (from threonine)	WP_011862922.1	WP_011862922.1		PF00291
transcriptional repressor NrdR	"negative regulation of transcription, DNA-templated"		metal ion binding // zinc ion binding // ATP binding // DNA binding // nucleotide binding	nrdR		WP_011862350.1	WP_011862350.1		PF03477
hypothetical protein				P9301_RS12555		WP_011862695.1	WP_011862695.1		
long-chain acyl-[acyl-carrier-protein] reductase				aarA	alkane biosynthesis I	WP_011862552.1	WP_011862552.1		PF01488
DUF1651 domain-containing protein				P9301_RS13905		WP_011862968.1	WP_011862968.1		PF07864
hypothetical protein				P9301_RS12355		WP_041484750.1	WP_041484750.1		
glycosyltransferase family 1 protein				P9301_RS17925		WP_025980084.1	WP_025980084.1		PF13439
hypothetical protein				P9301_RS15480		WP_011863289.1	WP_011863289.1		
DNA polymerase I	nucleic acid phosphodiester bond hydrolysis // DNA biosynthetic process // cellular response to DNA damage stimulus // DNA repair // DNA-dependent DNA replication // DNA replication // nucleobase-containing compound metabolic process		hydrolase activity // nucleotidyltransferase activity // transferase activity // 3'-5' exonuclease activity // nuclease activity // DNA-directed DNA polymerase activity // catalytic activity // DNA binding // nucleic acid binding	polA		WP_011863266.1	WP_011863266.1		PF02739
aminoacyl-tRNA hydrolase	translational termination		translation release factor activity	P9301_RS10970		WP_011862390.1	WP_011862390.1		PF00472
Ribulose bisphosphate carboxylase small subunit			ribulose-bisphosphate carboxylase activity // lyase activity	rbcS		WP_011862568.1	WP_011862568.1		PF00101
NAD-dependent DNA ligase	DNA ligation		ligase activity // DNA ligase (NAD+) activity	P9301_RS12705		WP_011862729.1	WP_011862729.1		PF01653
malate transporter	transmembrane transport	integral component of membrane // membrane		P9301_RS15580		WP_011863309.1	WP_011863309.1		PF03547
cupin domain-containing protein				P9301_RS16640		WP_041484781.1	WP_041484781.1		PF07883
DUF2062 domain-containing protein		integral component of membrane // membrane		P9301_RS10115		WP_011862235.1	WP_011862235.1		PF09835
deoxyribose-phosphate aldolase	deoxyribose phosphate catabolic process // deoxyribonucleotide catabolic process	cytoplasm	lyase activity // deoxyribose-phosphate aldolase activity // catalytic activity	deoC		WP_011862424.1	WP_011862424.1		
urease accessory protein UreF	nitrogen compound metabolic process	cytoplasm	nickel cation binding	ureF		WP_011862860.1	WP_011862860.1		PF01730
protein translocase subunit SecF	protein transmembrane transport // protein transport // intracellular protein transport	integral component of membrane // membrane // plasma membrane	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	secF		WP_011862901.1	WP_011862901.1		PF02355
NAD(P)H-quinone oxidoreductase subunit O		thylakoid membrane // membrane // thylakoid // plasma membrane	"quinone binding // oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	ndhO		WP_011862164.1	WP_011862164.1		PF11910
isopropylmalate isomerase			lyase activity // 3-isopropylmalate dehydratase activity	P9301_RS10445	superpathway of branched chain amino acid biosynthesis // L-leucine biosynthesis	WP_011862296.1	WP_011862296.1		PF00694
&beta;-carotene hydroxylase				crtR	zeaxanthin biosynthesis	WP_071813372.1	WP_071813372.1		PF00487
AbrB family transcriptional regulator			DNA binding	P9301_RS12020		WP_011862589.1	WP_011862589.1		PF14250
30S ribosomal protein S8	translation	ribosome	rRNA binding // structural constituent of ribosome // RNA binding	rpsH		WP_011863651.1	WP_011863651.1		PF00410
MSMEG_0568 family radical SAM protein			iron-sulfur cluster binding // catalytic activity	P9301_RS15285		WP_011863253.1	WP_011863253.1		PF04055
photosystem I reaction center subunit IX	photosynthesis	thylakoid membrane // integral component of membrane // membrane // thylakoid // photosystem I		psaJ		WP_011862490.1	WP_011862490.1		PF01701
GNAT family N-acetyltransferase			transferase activity // N-acetyltransferase activity	P9301_RS11960		WP_011862578.1	WP_011862578.1		PF00583
aldo/keto reductase				P9301_RS16945		WP_011863586.1	WP_011863586.1		PF00248
bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	tetrahydrofolate interconversion // methionine biosynthetic process // cellular amino acid biosynthetic process // metabolic process // one-carbon metabolic process // purine nucleotide biosynthetic process // histidine biosynthetic process		hydrolase activity // oxidoreductase activity // methylenetetrahydrofolate dehydrogenase (NADP+) activity // methylenetetrahydrofolate dehydrogenase [NAD(P)+] activity // methenyltetrahydrofolate cyclohydrolase activity // catalytic activity	folD	"superpathway of tetrahydrofolate biosynthesis and salvage // formaldehyde oxidation VII (THF pathway) // folate transformations III (<i>E. coli</i>) // tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate"	WP_011863126.1	WP_011863126.1		PF00763
aminotransferase class V-fold PLP-dependent enzyme			cysteine desulfurase activity // transferase activity // transaminase activity // catalytic activity	P9301_RS13760		WP_011862943.1	WP_011862943.1		PF00266
Fe-S cluster assembly protein SufB	iron-sulfur cluster assembly			sufB		WP_041484649.1	WP_041484649.1		PF01458
histidine kinase	rhythmic process // peptidyl-histidine phosphorylation // phosphorylation // circadian rhythm // signal transduction // phosphorelay signal transduction system		"transferase activity, transferring phosphorus-containing groups // transferase activity // kinase activity // protein histidine kinase activity // phosphorelay sensor kinase activity"	P9301_RS14725		WP_011863135.1	WP_011863135.1		PF07689
5'/3'-nucleotidase SurE	dephosphorylation	cytoplasm	metal ion binding // hydrolase activity // 5'-nucleotidase activity // nucleotidase activity // nucleotide binding	surE	UTP and CTP dephosphorylation I	WP_011863388.1	WP_011863388.1		PF01975
molecular chaperone DnaK	protein folding		unfolded protein binding // ATP binding // nucleotide binding	dnaK		WP_011862933.1	WP_011862933.1		PF00012
DUF1957 domain-containing protein	alpha-glucan biosynthetic process // carbohydrate metabolic process		"1,4-alpha-glucan branching enzyme activity // catalytic activity"	P9301_RS14660		WP_011863122.1	WP_011863122.1		PF03065
UDP-N-acetylglucosamine 2-epimerase (hydrolyzing)	UDP-N-acetylglucosamine metabolic process		"isomerase activity // UDP-N-acetylglucosamine 2-epimerase activity // hydrolase activity, hydrolyzing O-glycosyl compounds"	neuC		WP_011863339.1	WP_011863339.1		PF02350
AAA family ATPase	nucleic acid phosphodiester bond hydrolysis // DNA duplex unwinding // cellular response to DNA damage stimulus // DNA repair		hydrolase activity // exodeoxyribonuclease V activity // ATP binding // exonuclease activity // nuclease activity // helicase activity // DNA helicase activity // DNA binding // nucleotide binding	P9301_RS14855		WP_011863161.1	WP_011863161.1		PF00580
argininosuccinate synthase	cellular amino acid biosynthetic process // arginine biosynthetic process	cytoplasm	ligase activity // ATP binding // argininosuccinate synthase activity // nucleotide binding	argG	L-arginine biosynthesis II (acetyl cycle) // urea cycle	WP_011863802.1	WP_011863802.1		PF00764
glycosyltransferase family 2 protein			transferase activity	P9301_RS12990		WP_011862790.1	WP_011862790.1		PF00535
recombinase RecA	SOS response // cellular response to DNA damage stimulus // DNA recombination // DNA repair // DNA metabolic process	cytoplasm	"ATPase, acting on DNA // ATP binding // single-stranded DNA binding // damaged DNA binding // DNA binding // nucleotide binding"	recA		WP_011863664.1	WP_011863664.1		PF00154
deoxyribodipyrimidine photo-lyase	protein-chromophore linkage		lyase activity // deoxyribodipyrimidine photo-lyase activity	P9301_RS10605		WP_011862325.1	WP_011862325.1		PF00875
imidazole glycerol phosphate synthase subunit HisH				hisH		WP_011863118.1	WP_011863118.1		PF00117
hypothetical protein				P9301_RS16645		WP_011863528.1	WP_011863528.1		
hypothetical protein				P9301_RS14085		WP_011863008.1	WP_011863008.1		
translation initiation factor SUI1	translational initiation		translation initiation factor activity	sui1		WP_011862210.1	WP_011862210.1		PF01253
Malate:quinone oxidoreductase	tricarboxylic acid cycle		malate dehydrogenase (menaquinone) activity // oxidoreductase activity // malate dehydrogenase (quinone) activity	mqoA	partial TCA cycle (obligate autotrophs)	WP_011862439.1	WP_011862439.1		PF06039
hypothetical protein				P9301_RS12925		WP_080513432.1	WP_080513432.1		
RNB domain-containing ribonuclease	"RNA phosphodiester bond hydrolysis, exonucleolytic // RNA phosphodiester bond hydrolysis"		hydrolase activity // exoribonuclease II activity // ribonuclease activity // RNA binding	P9301_RS13860		WP_011862960.1	WP_011862960.1		PF00773
nucleoside deaminase	tRNA wobble adenosine to inosine editing		5-fluorocytosine deaminase activity // hydrolase activity // zinc ion binding // tRNA-specific adenosine deaminase activity // cytosine deaminase activity // catalytic activity	P9301_RS13600		WP_011862912.1	WP_011862912.1		PF14437
50S ribosomal protein L5	translation	ribosome	rRNA binding // structural constituent of ribosome // RNA binding // tRNA binding	rplE		WP_011863652.1	WP_011863652.1		PF00281
hypothetical protein				P9301_RS15895		WP_011863369.1	WP_011863369.1		
HAMP domain-containing protein	"peptidyl-histidine phosphorylation // phosphorylation // signal transduction // regulation of transcription, DNA-templated // phosphorelay signal transduction system"	integral component of membrane // membrane	"transferase activity, transferring phosphorus-containing groups // transferase activity // kinase activity // ATP binding // protein histidine kinase activity // nucleotide binding // phosphorelay sensor kinase activity"	P9301_RS16360		WP_011863454.1	WP_011863454.1		PF00672
nucleoside-diphosphate kinase	phosphorylation // nucleotide metabolic process // CTP biosynthetic process // UTP biosynthetic process // GTP biosynthetic process // nucleoside diphosphate phosphorylation	cytoplasm	metal ion binding // transferase activity // kinase activity // ATP binding // nucleoside diphosphate kinase activity // nucleotide binding	ndk	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I // CMP phosphorylation // pyrimidine deoxyribonucleotide phosphorylation // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III // superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I // guanosine ribonucleotides <i>de novo</i> biosynthesis // ppGpp metabolism // superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // superpathway of pyrimidine nucleobases salvage // UTP and CTP <i>de novo</i> biosynthesis // superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I // superpathway of purine nucleotides <i>de novo</i> biosynthesis I // adenosine deoxyribonucleotides <i>de novo</i> biosynthesis	WP_011862077.1	WP_011862077.1		PF00334
RNA-binding S4 domain-containing protein			RNA binding	P9301_RS14075		WP_011863006.1	WP_011863006.1		PF13275
"Possible Helix-turn-helix protein, copG family"				P9301_RS12885		WP_011862768.1	WP_011862768.1		
ferredoxin	electron transport chain		electron transfer activity // iron ion binding	P9301_RS16950		WP_011863587.1	WP_011863587.1		PF13370
AAA domain-containing protein	protein metabolic process // proteolysis		hydrolase activity // peptidase activity // ATP binding // nucleotide binding	P9301_RS10200		WP_011862250.1	WP_011862250.1		PF02861
Membrane associated GTPase		integral component of membrane // membrane	GTP binding	P9301_RS13610		WP_011862915.1	WP_011862915.1		PF01926
photosystem II reaction center protein T	photosynthesis	thylakoid membrane // integral component of membrane // membrane // thylakoid // photosystem II reaction center // photosystem II		psbT	oxygenic photosynthesis // photosynthesis light reactions	WP_011131951.1	WP_011131951.1		PF01405
hypothetical protein		integral component of membrane // membrane		P9301_RS15180		WP_011818708.1	WP_011818708.1		
translation initiation factor IF-1	translational initiation // translation		rRNA binding // hydrolase activity // translation initiation factor activity // RNA binding	infA		WP_011863278.1	WP_011863278.1		PF01176
DUF1651 domain-containing protein				P9301_RS10975		WP_041484662.1	WP_041484662.1		PF07864
agmatinase			metal ion binding // hydrolase activity // agmatinase activity	speB	putrescine biosynthesis I // L-arginine degradation III (arginine decarboxylase/agmatinase pathway)	WP_011863782.1	WP_011863782.1		PF00491
CrcB family protein				P9301_RS17755		WP_041484732.1	WP_041484732.1		PF02537
hypothetical protein				P9301_RS12085		WP_011862602.1	WP_011862602.1		
CPBP family intramembrane metalloprotease	CAAX-box protein processing	integral component of membrane // membrane	cysteine-type endopeptidase activity	P9301_RS10980		WP_011862393.1	WP_011862393.1		PF02517
DUF3318 domain-containing protein				P9301_RS14095		WP_011863010.1	WP_011863010.1		PF11780
hypothetical protein		integral component of membrane // membrane		P9301_RS16650		WP_011863529.1	WP_011863529.1		
insulinase family protein	proteolysis		metal ion binding // metalloendopeptidase activity // catalytic activity	P9301_RS12965		WP_011862785.1	WP_011862785.1		PF00675
"Possible Helix-turn-helix protein, copG family"				P9301_RS15585		WP_011863310.1	WP_011863310.1		
DUF4090 family protein				P9301_RS10955		WP_041484661.1	WP_041484661.1		PF13319
acetyl-CoA carboxylase carboxyltransferase subunit alpha	malonyl-CoA biosynthetic process // fatty acid biosynthetic process // fatty acid metabolic process // lipid metabolic process	acetyl-CoA carboxylase complex // cytoplasm	ligase activity // carboxyl- or carbamoyltransferase activity // transferase activity // ATP binding // acetyl-CoA carboxylase activity // nucleotide binding	accA		WP_011862553.1	WP_011862553.1		PF03255
aspartoacylase			"metal ion binding // aspartoacylase activity // hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides // hydrolase activity, acting on ester bonds // hydrolase activity // zinc ion binding"	P9301_RS10275		WP_011862265.1	WP_011862265.1		PF04952
N-acetylmuramoyl-L-alanine amidase	peptidoglycan catabolic process		hydrolase activity // N-acetylmuramoyl-L-alanine amidase activity	P9301_RS12235		WP_011862632.1	WP_011862632.1		PF11741
DnaJ domain-containing protein				P9301_RS09760		WP_011862165.1	WP_011862165.1		PF00226
3-isopropylmalate dehydratase large subunit	leucine biosynthetic process // branched-chain amino acid biosynthetic process // cellular amino acid biosynthetic process		"4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // lyase activity // 3-isopropylmalate dehydratase activity"	leuC	superpathway of branched chain amino acid biosynthesis // L-leucine biosynthesis	WP_011862297.1	WP_011862297.1		PF00330
Photosystem I reaction centre subunit III precursor (PSI-F)				psaF		WP_011817979.1	WP_011817979.1		PF02507
Mrp/NBP35 family ATP-binding protein			iron-sulfur cluster binding // metal ion binding // ATPase // hydrolase activity // ATP binding // nucleotide binding	P9301_RS17490		WP_011863683.1	WP_011863683.1		PF01883
HNH endonuclease	nucleic acid phosphodiester bond hydrolysis		endonuclease activity	P9301_RS14155		WP_011863022.1	WP_011863022.1		PF14279
hypothetical protein				P9301_RS12895		WP_011862771.1	WP_011862771.1		
hypothetical protein		integral component of membrane // membrane		P9301_RS14170		WP_011863025.1	WP_011863025.1		
hypothetical protein				P9301_RS12845		WP_011862760.1	WP_011862760.1		
hypothetical protein		integral component of membrane // membrane		P9301_RS14175		WP_144038830.1	WP_144038830.1		
DUF3764 domain-containing protein				P9301_RS15025		WP_011863198.1	WP_011863198.1		PF12594
DUF1257 domain-containing protein				P9301_RS16955		WP_011863588.1	WP_011863588.1		PF06868
hypothetical protein		integral component of membrane // membrane		P9301_RS13290		WP_011862845.1	WP_011862845.1		
adenosylhomocysteinase	one-carbon metabolic process	cytoplasm	hydrolase activity // adenosylhomocysteinase activity	ahcY	<i>S</i>-adenosyl-L-methionine cycle II // L-methionine degradation I (to L-homocysteine)	WP_011863725.1	WP_011863725.1		PF05221
PhoH family protein			ATP binding	P9301_RS16055		WP_011863399.1	WP_011863399.1		PF02562
Clp protease chaperone/ATPase component ClpX	protein folding		unfolded protein binding // protein dimerization activity // metal ion binding // zinc ion binding // ATP binding // nucleotide binding	clpX		WP_011863753.1	WP_011863753.1		PF06689
cytochrome b6				P9301_RS09660		WP_011375671.1	WP_011375671.1		
ACP S-malonyltransferase			"transferase activity, transferring acyl groups // transferase activity // S-malonyltransferase activity // [acyl-carrier-protein] S-malonyltransferase activity"	fabD	fatty acid biosynthesis initiation (bacteria and plants)	WP_011862182.1	WP_011862182.1		PF00698
sialic acid synthase	carbohydrate biosynthetic process		N-acetylneuraminate synthase activity // N-acylneuraminate-9-phosphate synthase activity // transferase activity // catalytic activity	spsE		WP_011863340.1	WP_011863340.1		PF03102
Uncharacterized conserved protein				P9301_RS15235		WP_011863242.1	WP_011863242.1		PF02696
