	proMS	co-cultures	product	seq_id	source	type	start	end	score	strand	phase	attributes	Name	eC_number	gene	inference	locus_tag	note	organism	Dbxref	Note	Parent	anticodon	bound_moiety	end_range	gbkey	gene_biotype	gene_synonym	genome	mol_type	old_locus_tag	partial	protein_id	pseudo	regulatory_class	start_range	strain	transl_table
MIT9301_01583	0.9477089157825528	-1.5605040710301583	putative high light inducible protein	MIT9301_1	Prodigal:2.6	CDS	1331574	1331714	.	+	0	ID=MIT9301_01583;Name=hli11;gene=hli11;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE19844.1;locus_tag=MIT9301_01583;product=putative high light inducible protein	hli11		hli11	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE19844.1	MIT9301_01583		MIT9301																			
MIT9301_00955	-0.7708267242020895	0.2073484378044462	50S ribosomal protein L28	MIT9301_1	Prodigal:2.6	CDS	823696	823932	.	-	0	ID=MIT9301_00955;Name=rpl28%2C rpmB;gene=rpl28%2C rpmB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE19361.1;locus_tag=MIT9301_00955;product=50S ribosomal protein L28	rpl28%2C rpmB		rpl28%2C rpmB	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE19361.1	MIT9301_00955		MIT9301																			
MIT9301_01471	0.7502319905985643	-0.2706448644674918	Type II alternative RNA polymerase sigma factor%2C sigma-70 family	MIT9301_1	Prodigal:2.6	CDS	1242742	1243683	.	-	0	ID=MIT9301_01471;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE19748.1;locus_tag=MIT9301_01471;product=Type II alternative RNA polymerase sigma factor%2C sigma-70 family				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE19748.1	MIT9301_01471		MIT9301																			
MIT9301_01013	-1.778473892488103	0.763435977621282	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	874356	875108	.	-	0	ID=MIT9301_01013;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17636.1;locus_tag=MIT9301_01013;note=conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17636.1	MIT9301_01013	conserved hypothetical protein	MIT9301																			
MIT9301_00798	0.6639270868973622	-0.555078121380405	PetN family protein	MIT9301_1	Prodigal:2.6	CDS	689558	689659	.	+	0	ID=MIT9301_00798;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:EEE40514.1;locus_tag=MIT9301_00798;product=PetN family protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:EEE40514.1	MIT9301_00798		MIT9301																			
MIT9301_01582	0.9194200534029576	-1.5280935273353136	putative high light inducible protein	MIT9301_1	Prodigal:2.6	CDS	1331467	1331574	.	+	0	ID=MIT9301_01582;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGF91566.1;locus_tag=MIT9301_01582;product=putative high light inducible protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGF91566.1	MIT9301_01582		MIT9301																			
MIT9301_00356	1.2001759407076171	-0.7656369576174918	5S ribosomal RNA	MIT9301_1	barrnap:0.7	rRNA	327559	327662	3.8e-07	+	.	ID=MIT9301_00356;locus_tag=MIT9301_00356;product=5S ribosomal RNA					MIT9301_00356		MIT9301																			
MIT9301_01312	0.8652686765282795	-1.7986402744635397	putative high light inducible protein	MIT9301_1	Prodigal:2.6	CDS	1104120	1104380	.	+	0	ID=MIT9301_01312;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGF91869.1;locus_tag=MIT9301_01312;product=putative high light inducible protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGF91869.1	MIT9301_01312		MIT9301																			
MIT9301_01035	-0.7880225954432701	0.8193373486236384	putative 2-octaprenyl-6-methoxyphenol 4-monoxygenase%3B UbiH	MIT9301_1	Prodigal:2.6	CDS	894273	895427	.	-	0	ID=MIT9301_01035;Name=ubiH;gene=ubiH;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM70320.1;locus_tag=MIT9301_01035;product=putative 2-octaprenyl-6-methoxyphenol 4-monoxygenase%3B UbiH	ubiH		ubiH	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM70320.1	MIT9301_01035		MIT9301																			
MIT9301_01419	-0.7382047187385443	0.3139359202713738	Hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	1189492	1191252	.	-	0	ID=MIT9301_01419;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18046.1;locus_tag=MIT9301_01419;product=Hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18046.1	MIT9301_01419		MIT9301																			
MIT9301_00119	-2.1843778589714167	2.4093283226053552	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	117289	117381	.	-	0	ID=MIT9301_00119;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM69407.1;locus_tag=MIT9301_00119;note=Conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM69407.1	MIT9301_00119	Conserved hypothetical protein	MIT9301																			
MIT9301_01136	2.0507028732128827	-3.772073187465168	ABC transporter%2C substrate binding protein%2C possibly Mn	MIT9301_1	Prodigal:2.6	CDS	952569	954110	.	+	0	ID=MIT9301_01136;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB50102.1;locus_tag=MIT9301_01136;product=ABC transporter%2C substrate binding protein%2C possibly Mn				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB50102.1	MIT9301_01136		MIT9301																			
MIT9301_01311	0.8651404257692075	-1.907395086542972	Hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	1103734	1104120	.	+	0	ID=MIT9301_01311;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17941.1;locus_tag=MIT9301_01311;product=Hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17941.1	MIT9301_01311		MIT9301																			
MIT9301_01614	0.5817578930807729	-0.0994158263820688	Hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	1350077	1350424	.	-	0	ID=MIT9301_01614;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18237.1;locus_tag=MIT9301_01614;product=Hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18237.1	MIT9301_01614		MIT9301																			
MIT9301_01138	1.3353577655791726	-0.5872803241269462	WD-40 repeat-containing protein	MIT9301_1	Prodigal:2.6	CDS	955525	956598	.	+	0	ID=MIT9301_01138;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB50104.1;locus_tag=MIT9301_01138;product=WD-40 repeat-containing protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB50104.1	MIT9301_01138		MIT9301																			
MIT9301_01231	-1.325660400501533	3.362728393492296	putative hydrogenase accessory protein	MIT9301_1	Prodigal:2.6	CDS	1045962	1046594	.	-	0	ID=MIT9301_01231;Name=hupE;gene=hupE;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE19582.1;locus_tag=MIT9301_01231;product=putative hydrogenase accessory protein	hupE		hupE	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE19582.1	MIT9301_01231		MIT9301																			
MIT9301_01008	-5.439959858810021	1.967864608038173	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	872460	872645	.	-	0	ID=MIT9301_01008;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17631.1;locus_tag=MIT9301_01008;note=Conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17631.1	MIT9301_01008	Conserved hypothetical protein	MIT9301																			
MIT9301_00799	0.6550995587923165	-0.5435567822146723	Hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	689656	689796	.	+	0	ID=MIT9301_00799;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAP16393.1;locus_tag=MIT9301_00799;product=Hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAP16393.1	MIT9301_00799		MIT9301																			
MIT9301_00089	-0.8557859990667976	1.3952102625412397	membrane protein	MIT9301_1	Prodigal:2.6	CDS	90970	91140	.	+	0	ID=MIT9301_00089;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABV49707.1;locus_tag=MIT9301_00089;product=membrane protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABV49707.1	MIT9301_00089		MIT9301																			
MIT9301_01892	0.457002686779883	-0.3099615441158092	uroporphyrin-III C-methyltransferase	MIT9301_1	Prodigal:2.6	CDS	1612200	1613015	.	-	0	ID=MIT9301_01892;eC_number=2.1.1.107;Name=cobA;gene=cobA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:EEE41022.1;locus_tag=MIT9301_01892;product=uroporphyrin-III C-methyltransferase	cobA	2.1.1.107	cobA	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:EEE41022.1	MIT9301_01892		MIT9301																			
MIT9301_01078	-1.989889709151324	2.377265242367736	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	925431	925751	.	+	0	ID=MIT9301_01078;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:EEE40114.1;locus_tag=MIT9301_01078;note=conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:EEE40114.1	MIT9301_01078	conserved hypothetical protein	MIT9301																			
MIT9301_01278	-1.100595415185912	0.3719835184668682	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	1083805	1084257	.	+	0	ID=MIT9301_01278;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM70559.1;locus_tag=MIT9301_01278;note=conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM70559.1	MIT9301_01278	conserved hypothetical protein	MIT9301																			
MIT9301_01120	-1.122779284939037	1.0639937515073248	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	945970	946131	.	-	0	ID=MIT9301_01120;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABS83165.1;locus_tag=MIT9301_01120;note=Conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABS83165.1	MIT9301_01120	Conserved hypothetical protein	MIT9301																			
MIT9301_01225	0.8776039081592532	-1.6974804827758443	putative high light inducible protein	MIT9301_1	Prodigal:2.6	CDS	1040897	1041004	.	+	0	ID=MIT9301_01225;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGF91566.1;locus_tag=MIT9301_01225;product=putative high light inducible protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGF91566.1	MIT9301_01225		MIT9301																			
MIT9301_01638	-0.7725637037963131	0.6256260372916741	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	1371511	1371702	.	-	0	ID=MIT9301_01638;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18261.1;locus_tag=MIT9301_01638;note=conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18261.1	MIT9301_01638	conserved hypothetical protein	MIT9301																			
MIT9301_01232	-1.3494852484027011	3.315657765821439	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	1046608	1046745	.	-	0	ID=MIT9301_01232;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAP16460.1;locus_tag=MIT9301_01232;note=Conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAP16460.1	MIT9301_01232	Conserved hypothetical protein	MIT9301																			
MIT9301_01434	-0.6812870249742307	0.2147704807809594	Hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	1208715	1209701	.	+	0	ID=MIT9301_01434;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18061.1;locus_tag=MIT9301_01434;product=Hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18061.1	MIT9301_01434		MIT9301																			
MIT9301_00322	0.5735663691417259	0.1946301695242931	photosytem II PsbJ protein	MIT9301_1	Prodigal:2.6	CDS	295948	296145	.	+	0	ID=MIT9301_00322;Name=psbJ;gene=psbJ;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABV49942.1;locus_tag=MIT9301_00322;product=photosytem II PsbJ protein	psbJ		psbJ	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABV49942.1	MIT9301_00322		MIT9301																			
MIT9301_01797	0.4682572217802749	0.0076820440987239	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	1517796	1518128	.	-	0	ID=MIT9301_01797;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE20061.1;locus_tag=MIT9301_01797;note=conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE20061.1	MIT9301_01797	conserved hypothetical protein	MIT9301																			
MIT9301_00272	0.9048317172838004	-0.4834464192717233	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	251953	252210	.	-	0	ID=MIT9301_00272;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49312.1;locus_tag=MIT9301_00272;note=conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49312.1	MIT9301_00272	conserved hypothetical protein	MIT9301																			
MIT9301_01241	-1.252708071360487	2.219979108333373	two component transcriptional regulator%2C winged helix family	MIT9301_1	Prodigal:2.6	CDS	1055841	1056569	.	-	0	ID=MIT9301_01241;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49777.1;locus_tag=MIT9301_01241;product=two component transcriptional regulator%2C winged helix family				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB49777.1	MIT9301_01241		MIT9301																			
MIT9301_01004	-0.8017229971300978	0.7086986501145442	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	871254	871616	.	-	0	ID=MIT9301_01004;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:EEE40245.1;locus_tag=MIT9301_01004;note=conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:EEE40245.1	MIT9301_01004	conserved hypothetical protein	MIT9301																			
MIT9301_01613	0.8684517645715952	-0.2566566976493513	Hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	1349614	1350072	.	-	0	ID=MIT9301_01613;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18236.1;locus_tag=MIT9301_01613;product=Hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18236.1	MIT9301_01613		MIT9301																			
MIT9301_00545	0.4559157225395447	-0.0309441068783281	Transaldolase	MIT9301_1	Prodigal:2.6	CDS	475195	476196	.	+	0	ID=MIT9301_00545;eC_number=2.2.1.2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGG03634.1;locus_tag=MIT9301_00545;product=Transaldolase		2.2.1.2		ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGG03634.1	MIT9301_00545		MIT9301																			
MIT9301_01090	-2.110901988506772	0.5406267776377257	Hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	932474	932695	.	-	0	ID=MIT9301_01090;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAP16438.1;locus_tag=MIT9301_01090;product=Hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAP16438.1	MIT9301_01090		MIT9301																			
MIT9301_00789	0.6073423220387302	-0.4930134983621901	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	686373	686570	.	+	0	ID=MIT9301_00789;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17414.1;locus_tag=MIT9301_00789;note=Conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17414.1	MIT9301_00789	Conserved hypothetical protein	MIT9301																			
MIT9301_01407	0.5272183125708165	-0.2391921962981879	CMP-N-acetylneuraminic acid synthetase	MIT9301_1	Prodigal:2.6	CDS	1179891	1180574	.	-	0	ID=MIT9301_01407;eC_number=2.7.7.43;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18036.1;locus_tag=MIT9301_01407;product=CMP-N-acetylneuraminic acid synthetase		2.7.7.43		ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18036.1	MIT9301_01407		MIT9301																			
MIT9301_01139	0.962168291438874	1.2892771002550352	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	956617	956772	.	-	0	ID=MIT9301_01139;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17760.1;locus_tag=MIT9301_01139;note=Conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO17760.1	MIT9301_01139	Conserved hypothetical protein	MIT9301																			
MIT9301_00359	-1.60449605771428	1.4817780839435164	putative LysM domain-containing protein	MIT9301_1	Prodigal:2.6	CDS	328890	329651	.	-	0	ID=MIT9301_00359;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO16980.1;locus_tag=MIT9301_00359;product=putative LysM domain-containing protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO16980.1	MIT9301_00359		MIT9301																			
MIT9301_01423	-0.8315349745873877	0.3415390562337543	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N- acetylglucosamine-1-phosphate transferase	MIT9301_1	Prodigal:2.6	CDS	1194604	1195554	.	+	0	ID=MIT9301_01423;Name=rfe;gene=rfe;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18050.1;locus_tag=MIT9301_01423;product=UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N- acetylglucosamine-1-phosphate transferase	rfe		rfe	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18050.1	MIT9301_01423		MIT9301																			
MIT9301_00168	-0.4645772009715714	-0.0071470831985239	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	154724	155452	.	+	0	ID=MIT9301_00168;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGF88384.1;locus_tag=MIT9301_00168;note=Conserved NnrU/NnuR-like membrane enzyme;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:KGF88384.1	MIT9301_00168	Conserved NnrU/NnuR-like membrane enzyme	MIT9301																			
MIT9301_01005	-0.7994563668858495	1.5622099611511069	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	871693	871845	.	+	0	ID=MIT9301_01005;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM70291.1;locus_tag=MIT9301_01005;note=Conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM70291.1	MIT9301_01005	Conserved hypothetical protein	MIT9301																			
MIT9301_00222	0.5187841425252727	-0.7625852153968384	50S ribosomal protein L7/L12	MIT9301_1	Prodigal:2.6	CDS	205837	206232	.	-	0	ID=MIT9301_00222;Name=rpl12%2C rplL%2C rpl7;gene=rpl12%2C rplL%2C rpl7;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE18660.1;locus_tag=MIT9301_00222;product=50S ribosomal protein L7/L12	rpl12%2C rplL%2C rpl7		rpl12%2C rplL%2C rpl7	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE18660.1	MIT9301_00222		MIT9301																			
MIT9301_01484	0.6672206796984718	-0.4689382745691054	tRNA-Leu(caa)	MIT9301_1	Aragorn:1.2	tRNA	1255649	1255731	.	+	.	ID=MIT9301_01484;inference=COORDINATES:profile:Aragorn:1.2;locus_tag=MIT9301_01484;product=tRNA-Leu(caa)				COORDINATES:profile:Aragorn:1.2	MIT9301_01484		MIT9301																			
MIT9301_01714	0.7800987531900443	0.2966521690495136	Photosystem I PsaB protein	MIT9301_1	Prodigal:2.6	CDS	1446493	1448721	.	-	0	ID=MIT9301_01714;Name=psaB;gene=psaB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE19982.1;locus_tag=MIT9301_01714;product=Photosystem I PsaB protein	psaB		psaB	ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:CAE19982.1	MIT9301_01714		MIT9301																			
MIT9301_00079	-0.6081050890438658	0.1142856909307764	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	81135	81413	.	-	0	ID=MIT9301_00079;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO16700.1;locus_tag=MIT9301_00079;note=conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO16700.1	MIT9301_00079	conserved hypothetical protein	MIT9301																			
MIT9301_01244	-1.5382379569144735	1.82370398403707	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	1057459	1057611	.	-	0	ID=MIT9301_01244;inference=ab initio prediction:Prodigal:2.6;locus_tag=MIT9301_01244;product=hypothetical protein				ab initio prediction:Prodigal:2.6	MIT9301_01244		MIT9301																			
MIT9301_01848	0.6888237060932678	-0.570755695482541	putative hydrolase of the metallo-beta-lactamase superfamily protein	MIT9301_1	Prodigal:2.6	CDS	1565879	1567864	.	-	0	ID=MIT9301_01848;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM71144.1;locus_tag=MIT9301_01848;product=putative hydrolase of the metallo-beta-lactamase superfamily protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABM71144.1	MIT9301_01848		MIT9301																			
MIT9301_01709	-0.8748466723655978	0.878211506390174	hypothetical protein	MIT9301_1	Prodigal:2.6	CDS	1443386	1444144	.	+	0	ID=MIT9301_01709;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18333.1;locus_tag=MIT9301_01709;note=conserved hypothetical protein;product=hypothetical protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABO18333.1	MIT9301_01709	conserved hypothetical protein	MIT9301																			
MIT9301_01558	0.7276380963961638	0.0488749335345413	GAF domain protein	MIT9301_1	Prodigal:2.6	CDS	1318637	1319386	.	-	0	ID=MIT9301_01558;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB50526.1;locus_tag=MIT9301_01558;product=GAF domain protein				ab initio prediction:Prodigal:2.6,similar to AA sequence:RefSeq:ABB50526.1	MIT9301_01558		MIT9301																			
